Year,State,District,spousal_violence_pct,sought_help_pct,justice_gap,gap_severity,crime_rate,police_vacancy_rate
2021,Karnataka,Bagalkot,44.4,3.8,40.6,CRITICAL GAP,2.07,0.18
2021,Karnataka,Bengaluru City,44.4,3.8,40.6,CRITICAL GAP,32.21,0.18
2021,Karnataka,Bengaluru District,44.4,3.8,40.6,CRITICAL GAP,6.83,0.18
2021,Karnataka,Belagavi District,44.4,3.8,40.6,CRITICAL GAP,8.29,0.18
2021,Karnataka,Ballari,44.4,3.8,40.6,CRITICAL GAP,6.61,0.18
2021,Karnataka,Bidar,44.4,3.8,40.6,CRITICAL GAP,3.88,0.18
2021,Karnataka,Vijayapura,44.4,3.8,40.6,CRITICAL GAP,6.39,0.18
2021,Karnataka,Chikkaballapura,44.4,3.8,40.6,CRITICAL GAP,5.06,0.18
2021,Karnataka,Chamarajnagar,44.4,3.8,40.6,CRITICAL GAP,1.68,0.18
2021,Karnataka,Chikkamagaluru,44.4,3.8,40.6,CRITICAL GAP,4.71,0.18
2021,Karnataka,Chitradurga,44.4,3.8,40.6,CRITICAL GAP,4.19,0.18
2021,Karnataka,Dakshina Kannada,44.4,3.8,40.6,CRITICAL GAP,1.5,0.18
2021,Karnataka,Davanagere,44.4,3.8,40.6,CRITICAL GAP,4.07,0.18
2021,Karnataka,Dharwad,44.4,3.8,40.6,CRITICAL GAP,1.46,0.18
2021,Karnataka,Gadag,44.4,3.8,40.6,CRITICAL GAP,2.04,0.18
2021,Karnataka,Kalaburgi,44.4,3.8,40.6,CRITICAL GAP,5.55,0.18
2021,Karnataka,Hassan,44.4,3.8,40.6,CRITICAL GAP,3.62,0.18
2021,Karnataka,Haveri,44.4,3.8,40.6,CRITICAL GAP,3.1,0.18
2021,Karnataka,Hubballi Dharwad City,44.4,3.8,40.6,CRITICAL GAP,4.26,0.18
2021,Karnataka,K.G.F.,44.4,3.8,40.6,CRITICAL GAP,1.01,0.18
2021,Karnataka,Kodagu,44.4,3.8,40.6,CRITICAL GAP,5.65,0.18
2021,Karnataka,Kolar,44.4,3.8,40.6,CRITICAL GAP,1.87,0.18
2021,Karnataka,Koppal,44.4,3.8,40.6,CRITICAL GAP,4.25,0.18
2021,Karnataka,Mandya,44.4,3.8,40.6,CRITICAL GAP,4.43,0.18
2021,Karnataka,Mangaluru City,44.4,3.8,40.6,CRITICAL GAP,1.79,0.18
2021,Karnataka,Mysuru City,44.4,3.8,40.6,CRITICAL GAP,2.35,0.18
2021,Karnataka,Mysuru District,44.4,3.8,40.6,CRITICAL GAP,6.16,0.18
2021,Karnataka,Raichur,44.4,3.8,40.6,CRITICAL GAP,5.59,0.18
2021,Karnataka,K.Railways,44.4,3.8,40.6,CRITICAL GAP,0.06,0.18
2021,Karnataka,Ramanagara,44.4,3.8,40.6,CRITICAL GAP,5.3,0.18
2021,Karnataka,Shimoga,44.4,3.8,40.6,CRITICAL GAP,4.42,0.18
2021,Karnataka,Tumakuru,44.4,3.8,40.6,CRITICAL GAP,4.15,0.18
2021,Karnataka,Udupi,44.4,3.8,40.6,CRITICAL GAP,2.51,0.18
2021,Karnataka,Uttara Kannada,44.4,3.8,40.6,CRITICAL GAP,1.45,0.18
2021,Karnataka,Yadgiri,44.4,3.8,40.6,CRITICAL GAP,3.59,0.18
2021,Karnataka,Belagavi City,44.4,3.8,40.6,CRITICAL GAP,5.32,0.18
2021,Karnataka,Kalaburgi City,44.4,3.8,40.6,CRITICAL GAP,6.22,0.18
2021,Karnataka,Total Districts ,44.4,3.8,40.6,CRITICAL GAP,171.81,0.18
2022,Karnataka,Bagalkot,44.4,3.8,40.6,CRITICAL GAP,2.21,0.18
2022,Karnataka,Bengaluru City,44.4,3.8,40.6,CRITICAL GAP,42.8,0.18
2022,Karnataka,Bengaluru District,44.4,3.8,40.6,CRITICAL GAP,10.31,0.18
2022,Karnataka,Belagavi District,44.4,3.8,40.6,CRITICAL GAP,8.51,0.18
2022,Karnataka,Ballari,44.4,3.8,40.6,CRITICAL GAP,4.2,0.18
2022,Karnataka,Bidar,44.4,3.8,40.6,CRITICAL GAP,6.38,0.18
2022,Karnataka,Vijayapura,44.4,3.8,40.6,CRITICAL GAP,7.28,0.18
2022,Karnataka,Chikkaballapura,44.4,3.8,40.6,CRITICAL GAP,4.92,0.18
2022,Karnataka,Chamarajnagar,44.4,3.8,40.6,CRITICAL GAP,1.62,0.18
