State,districts,avg_spousal_violence,avg_help_seeking,avg_justice_gap,worst_justice_gap,critical_gap_districts
Karnataka,41,44.4,3.8,40.6,40.6,155
Bihar,47,40.0,3.5,36.5,36.5,0
Manipur,19,39.6,4.4,35.2,35.2,0
Tamil Nadu,51,38.1,5.3,32.8,32.8,0
Uttar Pradesh,80,34.8,2.4,32.4,32.4,0
Telangana,31,36.9,7.6,29.3,29.3,0
Jharkhand,27,31.5,2.9,28.6,28.6,0
Assam,43,32.0,5.9,26.1,26.1,0
Andhra Pradesh,39,30.0,4.4,25.6,25.6,0
Odisha,38,30.4,5.4,25.0,25.0,0
Madhya Pradesh,65,28.1,4.4,23.7,23.7,0
Chhattisgarh,35,29.6,6.8,22.8,22.8,0
Rajasthan,66,24.3,2.7,21.6,21.6,0
Maharashtra,64,25.2,3.7,21.5,21.5,0
West Bengal,40,27.0,5.9,21.1,21.1,0
Haryana,27,21.6,4.9,16.7,16.7,0
Gujarat,53,17.0,1.5,15.5,15.5,0
Tripura,11,17.7,4.6,13.1,13.1,0
Mizoram,15,16.8,4.4,12.4,12.4,0
Nagaland,18,15.6,3.8,11.8,11.8,0
Uttarakhand,16,15.0,3.6,11.4,11.4,0
Arunachal Pradesh,28,15.0,4.5,10.5,10.5,0
Meghalaya,14,12.7,5.0,7.7,7.7,0
Delhi,24,12.5,5.3,7.2,7.2,0
Punjab,35,11.0,5.5,5.5,5.5,0
Kerala,29,9.9,7.0,2.9,2.9,0
Himachal Pradesh,18,8.3,5.6,2.7,2.7,0
Goa,4,8.3,8.0,0.3,0.3,0
Sikkim,12,7.6,9.8,-2.2,-2.2,0
Puducherry,3,26.73,,,,0
Nagaland #,13,26.73,,,,0
Lakshadweep,2,26.73,,,,0
Ladakh,3,26.73,,,,0
Jammu & Kashmir,39,26.73,,,,0
D&N Haveli and Daman & Diu,4,26.73,,,,0
Chandigarh,3,26.73,,,,0
A&N Islands,4,26.73,,,,0
