State,districts_tracked,avg_yoy_change,worst_district_change,best_district_change,worsening_districts,improving_districts
Goa,4,2.53,14.07,-0.41,3,0
Nagaland,18,0.62,7.25,-1.72,1,0
Himachal Pradesh,18,0.46,13.86,-6.83,3,1
Lakshadweep,2,0.45,5.39,-4.05,2,0
D&N Haveli and Daman & Diu,4,0.45,7.15,-10.72,2,2
Tripura,10,0.35,107.82,-111.24,12,10
Puducherry,3,0.3,1.21,-0.87,0,0
Mizoram,15,0.26,10.14,-11.41,2,1
Sikkim,12,0.22,2.05,-0.33,0,0
Meghalaya,14,0.2,11.09,-7.39,1,2
Chandigarh,2,0.12,3.21,-1.15,0,0
Jharkhand,27,-0.07,8.99,-11.1,2,2
Manipur,19,-0.08,2.35,-4.38,0,0
A&N Islands,4,-0.18,1.65,-2.47,0,0
Tamil Nadu,51,-0.2,5.96,-16.21,1,2
Arunachal Pradesh,28,-0.21,16.78,-21.2,5,5
Chhattisgarh,35,-0.23,61.51,-58.89,8,6
Bihar,47,-0.65,9.56,-54.68,1,1
Gujarat,53,-0.67,1.37,-49.92,0,3
Jammu & Kashmir,37,-0.76,4.39,-32.3,0,2
Ladakh,3,-0.86,1.27,-3.91,0,0
Punjab,35,-1.47,4.81,-62.19,0,8
Karnataka,41,-1.58,28.74,-129.85,4,6
Maharashtra,62,-2.52,50.19,-205.17,3,17
Delhi,24,-2.61,637.45,-645.87,24,31
Uttarakhand,16,-2.76,106.86,-118.14,5,8
Madhya Pradesh,59,-3.36,37.75,-264.63,9,32
Kerala,27,-3.71,3.44,-115.36,0,15
Odisha,38,-4.03,25.14,-251.93,6,27
Telangana,31,-4.18,15.12,-223.1,4,15
Uttar Pradesh,80,-4.62,83.23,-610.27,14,62
Andhra Pradesh,29,-5.48,111.06,-217.91,4,28
West Bengal,40,-6.83,5.57,-403.98,2,31
Rajasthan,66,-6.96,96.81,-518.19,12,62
Haryana,26,-8.83,11.41,-303.58,4,31
Assam,43,-15.14,6.02,-673.45,1,53
