Year,prev_year,State,District,current_crime_rate,prev_crime_rate,yoy_absolute_change,yoy_percent_change,trend_direction
2022,2022,Delhi,North,670.45,33.0,637.45,1931.59,WORSENING
2021,2021,Delhi,North,604.79,29.77,575.02,1931.57,WORSENING
2023,2023,Delhi,North,499.35,24.58,474.77,1931.57,WORSENING
2022,2022,Delhi,South,377.2,20.28,356.92,1760.37,WORSENING
2021,2021,Delhi,West,356.28,19.11,337.17,1764.08,WORSENING
2022,2022,Delhi,West,302.1,16.21,285.89,1764.05,WORSENING
2021,2021,Delhi,South,277.72,14.93,262.79,1760.38,WORSENING
2024,2024,Delhi,North,260.62,12.83,247.79,1931.59,WORSENING
2023,2023,Delhi,South,257.58,13.85,243.73,1760.33,WORSENING
2023,2023,Delhi,West,257.49,13.81,243.68,1764.08,WORSENING
2022,2022,Delhi,East,135.53,22.49,113.04,502.75,WORSENING
2022,2021,Andhra Pradesh,Total Districts ,286.69,175.63,111.06,63.23,WORSENING
2023,2023,Tripura,North,113.4,5.58,107.82,1931.6,WORSENING
2022,2021,Uttarakhand,Total Districts ,263.59,156.73,106.86,68.18,WORSENING
2022,2022,Tripura,North,111.41,5.48,105.93,1931.59,WORSENING
2024,2024,Delhi,South,102.44,5.51,96.93,1760.33,WORSENING
2022,2021,Rajasthan,Total Districts ,994.13,897.32,96.81,10.79,WORSENING
2021,2021,Delhi,East,107.63,17.86,89.77,502.77,WORSENING
2022,2021,Uttar Pradesh,Total Districts ,836.0,752.76,83.24,11.06,WORSENING
2023,2023,Delhi,East,97.51,16.18,81.33,502.77,WORSENING
2021,2021,Tripura,North,73.61,3.62,69.99,1931.58,WORSENING
2024,2024,Delhi,West,72.02,3.86,68.16,1764.06,WORSENING
2021,2021,Tripura,West,68.2,3.66,64.54,1764.17,WORSENING
2022,2021,Chhattisgarh,Bilaspur,68.75,7.25,61.5,848.62,WORSENING
2022,2021,Uttar Pradesh,Pratapgarh,63.12,11.11,52.01,468.16,WORSENING
2022,2021,Maharashtra,Total Districts ,423.53,373.35,50.18,13.44,WORSENING
2023,2022,Chhattisgarh,Bilaspur,59.42,9.86,49.56,502.69,WORSENING
