State,Spousal_Violence_Percent,Sought_Help_Percent
Andhra Pradesh,30.0,4.4
Arunachal Pradesh,15.0,4.5
Assam,32.0,5.9
Bihar,40.0,3.5
Chhattisgarh,29.6,6.8
Goa,8.3,8.0
Gujarat,17.0,1.5
Haryana,21.6,4.9
Himachal Pradesh,8.3,5.6
Jharkhand,31.5,2.9
Karnataka,44.4,3.8
Kerala,9.9,7.0
Madhya Pradesh,28.1,4.4
Maharashtra,25.2,3.7
Manipur,39.6,4.4
Meghalaya,12.7,5.0
Mizoram,16.8,4.4
Nagaland,15.6,3.8
Odisha,30.4,5.4
Punjab,11.0,5.5
Rajasthan,24.3,2.7
Sikkim,7.6,9.8
Tamil Nadu,38.1,5.3
Telangana,36.9,7.6
Tripura,17.7,4.6
Uttar Pradesh,34.8,2.4
Uttarakhand,15.0,3.6
West Bengal,27.0,5.9
Delhi,12.5,5.3
Jammu and Kashmir,9.6,4.8
