State,Sanctioned_Strength,Actual_Strength
Andhra Pradesh,73812,61183
Arunachal Pradesh,15424,12733
Assam,74261,62984
Bihar,138125,91862
Chhattisgarh,75125,59842
Goa,10244,9120
Gujarat,118422,94120
Haryana,75120,61244
Himachal Pradesh,19210,17842
Jharkhand,79124,61200
Karnataka,102410,84120
Kerala,59420,55120
Madhya Pradesh,121420,104120
Maharashtra,225420,201420
Manipur,35120,28120
Meghalaya,17120,14120
Mizoram,12120,10120
Nagaland,26120,22120
Odisha,67120,62120
Punjab,85120,80120
Rajasthan,109120,95120
Sikkim,7120,6542
Tamil Nadu,131420,118120
Telangana,81420,60120
Tripura,31120,26120
Uttar Pradesh,415120,295120
Uttarakhand,26120,22120
West Bengal,121420,98120
A&N Islands,6120,5842
Chandigarh,8120,7842
D&N Haveli and Daman & Diu,2120,1842
Delhi,94120,88120
Jammu and Kashmir,102120,84120
Ladakh,3120,2842
Lakshadweep,1120,942
Puducherry,4120,3842
