table_name,row_count,cid,name,type,notnull
crime_data,3601,0,Year,INTEGER,0
crime_data,3601,1,State,TEXT,0
crime_data,3601,2,District,TEXT,0
crime_data,3601,3,Pop_2024_Est,INTEGER,0
crime_data,3601,4,Total_Violence,INTEGER,0
crime_data,3601,5,Crime_Rate,REAL,0
crime_data,3601,6,Police_Vacancy_Rate,REAL,0
crime_data,3601,7,Spousal_Violence_Percent,REAL,0
crime_data,3601,8,Sought_Help_Percent,REAL,0
risk_scores,3601,0,Year,INTEGER,0
risk_scores,3601,1,State,TEXT,0
risk_scores,3601,2,District,TEXT,0
risk_scores,3601,3,Pop_2024_Est,INTEGER,0
risk_scores,3601,4,Total_Violence,INTEGER,0
risk_scores,3601,5,Crime_Rate,REAL,0
risk_scores,3601,6,Police_Vacancy_Rate,REAL,0
risk_scores,3601,7,Spousal_Violence_Percent,REAL,0
risk_scores,3601,8,Sought_Help_Percent,REAL,0
risk_scores,3601,9,Justice_Gap,REAL,0
risk_scores,3601,10,Crime_Rate_Norm,REAL,0
risk_scores,3601,11,Vacancy_Rate_Norm,REAL,0
risk_scores,3601,12,Justice_Gap_Norm,REAL,0
risk_scores,3601,13,Risk_Score,REAL,0
risk_scores,3601,14,Risk_Tier,TEXT,0
risk_scores,3601,15,National_Risk_Rank,INTEGER,0
